"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:79718",8.514911,8.584211,8.931624,9.329796,9.088788,8.767853,8.571753,8.877131,8.656067,8.706323,8.803162,8.78136,8.551131,9.044121,8.779719,7.910493,7.60807,8.043301,6.786596,7.136479,7.286327,7.95245,7.445429,7.393176,8.321928,8.617651,8.732676
"ENTREZID:115825",7.762216,7.654636,7.304694,6.934281,6.791814,7.241268,7.514911,7.231701,6.568336,7.570615,8.049304,7.277055,6.454505,7.123087,7.364572,5.904484,5.209453,6.274262,5.602884,6.665336,5.88996,6.395748,5.575917,5.354029,6.821455,6.131343,6.955359
"ENTREZID:81619",8.436712,8.271463,7.98698,8.138016,7.916477,8.003377,8.214319,7.691395,8.333603,8.058533,7.745506,8.038919,8.114783,8.969818,7.761551,6.665336,6.554589,5.904484,7.156842,7.577429,7.15583,6.161888,6.276124,7.061776,7.832257,7.89603,7.169925
"ENTREZID:9040",7.395748,7.602142,7.210428,7.300124,7.275193,7.249825,7.127221,6.900867,7.058533,6.997744,7.070389,6.590961,7.045487,7.331813,7.482203,5.498251,6.125155,5.281698,5.765535,5.066089,5.381975,5.809929,5.004501,5.296457,7.547666,6.905688,6.633722
"ENTREZID:10659",8.193279,8.115304,7.767522,7.976134,8.03177,7.905086,7.951868,7.860466,7.891176,7.768184,7.710118,7.708739,7.936638,7.837313,7.946614,6.127221,6.102238,5.837943,6.338068,5.930737,6.292782,6.102238,6.110614,5.902074,8.006186,8.091171,7.82273
"ENTREZID:8760",6.972693,7.465974,6.862947,7.439623,7.354029,6.82273,6.891176,6.851749,6.869131,6.957682,6.968091,6.61471,7.151778,6.940167,6.995485,5.307429,5.963474,4.666757,5.972693,4.78136,5.92837,6.008989,5.36807,5.498251,7.007868,6.718362,6.611763
"ENTREZID:6892",7.959422,7.268659,6.669594,7.164907,7.178914,7.538383,7.578939,7.538383,7.396605,7.518063,7.208478,6.812498,6.645298,7.499846,7.731319,6.050937,6.189825,6.199672,6.503031,5.672425,5.165912,5.536053,5.862947,5.465974,7.60807,6.899659,6.104337
"ENTREZID:10489",6.345183,6.137504,6.145677,6.125155,6.102238,6.046578,5.993221,5.97728,6.205549,6.240314,6.207502,5.830357,5.894818,6.309249,6.525129,4.578939,5.385431,3.827819,4.847997,4.104337,3.620586,5.371559,4.432959,4.357552,6.203593,6.063934,5.266787
"ENTREZID:11261",6.894818,6.88996,6.230741,6.1918,6.259272,6.839204,7.321928,6.338068,6.449561,6.782671,7.071462,6.114783,6.205549,6.856737,7.402586,5.104337,4.911692,4.584963,4.510962,6.100137,4.906891,5.300124,5.173927,6.221104,6.274262,6.070389,6.011227
"ENTREZID:27236",6.921246,7.114783,6.545351,6.639522,6.827819,6.818902,6.390599,6.546894,6.965784,6.542258,6.817623,6.5157,6.92837,6.307429,6.610287,4.949535,4.911692,5.57289,5.465974,5.350497,5.381975,5.89724,5.251719,5.385431,6.645298,6.831624,6.388878
"ENTREZID:3916",8.111657,7.537607,7.83289,7.649615,7.806711,7.938403,8.038919,7.760886,8.032321,7.959422,7.641691,6.697663,5.017922,8.095397,8.125672,5.852998,5.972693,5.201634,5.361066,5.321928,5.357552,5.436295,5.469235,6.127221,7.349613,7.032321,6.467606
"ENTREZID:126364",9.296916,9.267957,8.719731,8.624613,8.841407,8.896332,8.953614,8.574783,8.635537,9.385431,9.538577,8.109047,8.909593,8.661422,9.131857,6.877744,7.387156,7.725196,8.805099,6.93546,7.583459,7.684398,6.96116,7.027906,8.914684,8.415319,7.868514
"ENTREZID:51313",7.082149,8.442943,7.367196,6.799605,7.277055,7.775446,6.981853,7.353147,7.134426,7.60659,7.78986,7.234578,7.791163,6.577429,8.512543,5.436295,5.277985,6.281698,5.804776,5.882643,6.487036,7.203593,5.672425,5.733354,6.566815,6.862947,6.948367
"ENTREZID:27304",5.655352,5.307429,4.72792,5.545351,5.083213,5.281698,5.332708,5.177918,5.452859,5.044394,4.847997,4.661065,5.797013,5.05745,4.944858,4.185867,4.044394,3.336283,3.432959,3.498251,4.1127,4.517276,4.035624,3.472488,5.426265,5,4.419539
"ENTREZID:54491",5.53294,6.055282,5.074677,5.749534,5.867896,5.89724,5.680887,5.416164,5.714246,6.514122,6.171927,6.033423,5.635174,5.635174,6.920055,4.916477,4.053111,5.292782,3.536053,5.465974,4.944858,4.968091,4.765535,4.925999,5.169925,4.89724,4.921246
