"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:2208",5,4.412782,4.78136,4.405992,4.990955,5.070389,4.995485,5.05745,5.181898,3.104337,5.825277,4.247928,5.153805,5,3.754888,5.722466,7.098032,5.711495,6.718362,5.277985,7.441284,6.598425,6.380245,5.482203,6.072535,4.69488,5.061776
"ENTREZID:25893",6.708739,8.707704,7.349613,6.726559,8.851749,6.73471,7.321026,7.088523,9.002534,7.330021,7.584211,6.197708,6.402586,6.807355,6.817623,9.093814,9.238405,8.092757,8.884171,8.892998,12.043848,9.269594,9.337399,8.729961,8.498251,7.526695,8.33539
"ENTREZID:100133941",6.549977,3.916477,5.044394,6.652486,7.463524,6.311067,6.320124,6.548437,6.151778,3.906891,6.16792,5.485427,4.224966,6.338068,6.141596,6.534497,8.656782,6.696272,7.281698,6.854245,8.48784,7.273329,7.442943,6.696272,7.347843,7.174926,8.180904
"ENTREZID:56928",2.887525,2.632268,2.655352,2.632268,2.608809,2.678072,2.632268,2.655352,2.655352,2.678072,2.632268,2.655352,2.722466,2.678072,2.632268,4.83289,3.711495,3.596935,3.472488,4.911692,4.78136,2.786596,5.004501,5.173927,2.678072,2.655352,2.485427
"ENTREZID:5101",5.608809,3.916477,4.57289,4.716991,5.776104,7.89603,5.754888,7.985273,4.986411,4.523562,5.501439,4.087463,3.954196,4.517276,4.044394,6.98982,7.981282,6.478972,7.464342,7.911692,8.644938,7.704595,8.118422,6.899659,5.875289,5.765535,5.815063
"ENTREZID:7844",3.711495,4.930737,4.89724,4.754888,3.827819,4.916477,3.867896,4.807355,4.350497,4.465974,3.847997,4.240314,4.626439,3.754888,4.017922,4.655352,5.862947,4.817623,5.173927,4.995485,5.432959,4.161888,6.871597,7.047669,4.949535,5.875289,5.658211
"ENTREZID:58517",5.336283,5.865424,5.877744,5.752213,5.514122,4.459432,5.635174,5.350497,5.307429,5.820179,5.491853,5.837943,5.882643,5.719731,5.185867,7.294621,6.599913,5.918863,6.593951,7.415319,6.996615,6.426265,7.317413,7.478972,5.602884,5.870365,5.008989
"ENTREZID:6622",7.716991,9.645298,8.684398,7.620586,9.699225,7.758223,8.686501,7.947199,9.278914,7.972118,8.527868,7.660353,8.145168,8.033423,8.17742,10.104992,9.381543,9.387371,9.825754,10.101844,13.386671,10.594978,9.908543,10.245315,9.029011,8.854868,8.809286
"ENTREZID:10734",3.364572,3.292782,2.906891,3.350497,4.292782,3.596935,3.321928,3.321928,3.247928,3.867896,2.981853,3.307429,3.596935,3.364572,3.472488,4.510962,6.1127,3.906891,6.061776,3.472488,4.399171,5.004501,3.378512,3.981853,4.209453,4.329124,4.255501
"ENTREZID:640",5.350497,2.292782,4.017922,4.385431,5.995485,6.790511,4.949535,6.081084,4.632268,3.070389,4.916477,4.405992,3.104337,4.678072,5.070389,5.990955,7.380245,6.002252,7.001127,5.797013,6.501439,6.556123,6.407693,6.055282,5.569856,5.50462,6.033423
"ENTREZID:158158",7.317413,7.616916,8.261155,7.696272,7.284477,7.512543,8.225448,7.464342,7.114783,7.658211,7.141596,8.185371,7.811214,8.032872,7.071462,9.360189,9.349171,8.812819,8.978138,10.776433,8.517669,8.673839,10.240553,9.496055,7.886916,7.405992,7.118941
"ENTREZID:11142",6.221104,6.05745,6.259272,5.722466,7.217231,6.915282,6.305606,6.655352,6.421223,5.165912,5.83289,4.872829,4.906891,6.089583,5.705978,6.551516,8.274262,6.718362,7.292782,7.179909,8.554205,7.797662,7.2182,6.733354,6.930737,6.343408,6.259272
"ENTREZID:28396 /// 28442 /// 3493 /// 3494 /// 3500 /// 3502 /// 3507",9.282393,6.776104,6.72792,7.566815,8.533719,9.348949,8.017365,8.262095,8.510171,6.213347,8.510171,7.701826,6.446256,8.132371,8.295998,10.037547,10.541484,9.254556,10.304351,8.355351,9.983136,9.978996,9.520029,8.874674,8.654994,8.400026,8.244126
"ENTREZID:931",9.151778,4.986411,7.331813,8.151778,9.462093,10.425426,8.76288,10.080551,8.169925,6.520422,8.50462,7.764872,6.586465,8.413205,8.406418,9.944712,11.032528,9.713387,10.228698,9.896938,10.227135,10.530114,10.08945,9.400453,9.104599,9.464137,9.739274
"ENTREZID:23008",3.827819,4.137504,3.655352,3.867896,4.070389,3.632268,3.797013,3.89724,3.89724,3.93546,3.925999,3.93546,3.560715,3.472488,3.536053,5.395748,5.449561,4.678072,5.381975,7.115824,6.526695,5.956521,6.77215,6.640968,3.153805,3.632268,3.017922
"ENTREZID:930",6.790511,3.584963,5.074677,5.837943,6.994353,8.320124,6.240314,7.892998,5.498251,4.517276,5.965784,5.053111,5.680887,5.409391,5.259272,7.046578,8.822411,7.431289,8.152792,7.346957,8.004501,7.908693,7.072535,6.791814,7.228819,6.638074,7.066089
"ENTREZID:3725",6.482203,8.150763,8.495455,6.534497,6.493455,6.520422,7.583459,6.826548,7.151778,6.432959,6.076816,6.352264,6.584963,5.608809,5.867896,7.888743,8.318317,8.143638,8.449974,7.181898,7.829088,7.592457,8.166916,8.040564,7.413628,7.331813,7.036723
"ENTREZID:727738",4.247928,4.517276,5.36807,4.255501,4.053111,4.419539,4.465974,4.336283,4.161888,4.608809,4.277985,4.232661,4.459432,4.255501,4.087463,4.277985,6.493455,4.263034,4.89724,4.459432,5.716991,4.336283,5.954196,6.381975,5.221104,6.842979,6.407693
"ENTREZID:6689",6.510962,5.095924,5.643856,6.0917,6.844235,6.903279,5.968091,7.100137,5.847997,4.523562,6.249825,5.632268,5.385431,6.037821,6.240314,6.616181,7.638074,6.590961,7.726559,6.46107,8.172428,7.653203,6.60733,6.327328,7.076816,6.434628,6.925999
"ENTREZID:10098",6.147714,4.791814,5.986411,5.902074,5.974988,5.902074,6,6.002252,5.855491,6.125155,5.514122,5.835419,5.181898,6.074677,5.857981,7.701133,6.211402,6.087463,6.707359,8.33226,10.002393,7.037821,7.442114,7.812498,5.736064,6.044394,6.211402
"ENTREZID:6742",3.678072,4.232661,5.108524,4.754888,4.263034,3.620586,4.852998,4.371559,4.797013,4.69488,4.452859,5.432959,4.277985,3.643856,3.405992,4.986411,6.050937,4.277985,5.61471,6.061776,6.251719,5.044394,6.378512,6.565293,4.689299,4.837943,4.224966
"ENTREZID:100126583 /// 28392 /// 28396 /// 28442 /// 3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3503 /// 3507",7.407693,6.43796,6.444601,7.046578,7.253611,8.706669,7.086402,8.307884,6.722466,5.281698,7.298292,6.736064,5.921246,6.871597,7.459432,8.219653,8.984418,8.049304,8.610287,7.534497,8.484219,8.391888,9.036998,7.99605,7.761551,7.270529,7.015694
"ENTREZID:65982",5.133399,5.815063,5.429616,4.209453,5.669594,5.329124,5.108524,5.949535,4.716991,5.232661,5.285402,6.276124,5.510962,6.526695,5.375039,7.234578,7.263973,7.282625,6.864186,7.900867,7.089583,6.498251,5.70044,5.632268,5.031219,5.902074,5.646739
"ENTREZID:100133862 /// 3507",5.754888,5.752213,5.584963,4.705978,5.669594,5.602884,5.608809,6.127221,5.649615,4.906891,6.69488,5.442943,3.954196,5.776104,5.456149,7.138528,7.740118,7.037821,6.586465,4.93546,7.159871,6.795715,6.143638,6.793116,6.563768,5.789208,5.596935
"ENTREZID:598",5.860466,6.546894,5.904484,5.802193,6.488644,5.855491,5.855491,5.984134,6.638074,6.266787,5.405992,5.197708,4.770829,5.177918,6.0917,7.729961,6.738768,6.551516,7.443772,5.947199,9.515897,7.452035,6.510962,6.593951,6.699052,6.383704,5.857981
"ENTREZID:973",8.430034,6.345183,7.385431,7.66249,8.773139,9.531381,7.982423,9.07735,7.674545,6.159871,8.005063,7.055282,6.416164,7.653203,7.832257,8.962896,10.361615,8.843293,9.862172,7.782015,9.745506,9.435879,8.810572,7.998308,9.028735,8.34163,8.767853
"ENTREZID:28396 /// 28442 /// 3493 /// 3500 /// 3507",7.815704,5.875289,5.491853,5.827819,6.809929,7.778077,6.21529,6.131343,7.052025,4.716991,7.282625,6.268659,5.137504,6.330917,6.92837,7.8009,8.959422,7.88996,8.67948,6.207502,8.05745,8.422065,7.876517,7.086402,7.168923,6.949535,6.40429
"ENTREZID:2039",6.181898,7.815704,7.137504,6.446256,8.399598,6.357552,6.033423,6.05745,7.51885,6.934281,6.50462,6.488644,6.364572,6.578939,6.332708,8.076816,7.638074,7.48301,7.705287,7.487036,10.356122,8.059615,7.563006,7.415319,8.283088,6.849249,7.095924
"ENTREZID:343171",2.632268,3.153805,3,2.70044,4.008989,2.847997,2.786596,2.925999,3.277985,2.925999,2.632268,2.847997,2.70044,2.906891,3.053111,4.371559,3.827819,4.177918,3.711495,4.087463,8.654278,5.270529,3.711495,4.399171,3.536053,3.070389,3.292782
"ENTREZID:1669",4.491853,2.944858,3.689299,7.29094,3.655352,2.944858,4.542258,3.292782,3.57289,2.944858,3.754888,3.392317,4.916477,2.963474,3.722466,6.226894,4.350497,5.629357,4.50462,6.249825,6.512543,5.177918,3.666757,4.602884,6.32373,4.008989,6.024586
"ENTREZID:3049",2.263034,2.608809,2.459432,2.459432,2.722466,2.169925,2.292782,1.925999,2.459432,2.137504,1.632268,2.350497,1.632268,2.432959,2.137504,3.906891,2.608809,2.485427,4.087463,2.510962,6.345183,3.104337,3.017922,3.944858,2.169925,2.608809,2.560715
"ENTREZID:3848",5.0268,3.857981,3.877744,4.336283,3.847997,3.89724,3.786596,3.887525,3.89724,5.548437,3.847997,4.786596,5.837943,4.986411,4.452859,4.649615,6.261155,4.857981,5.224966,5.277985,8.946029,5.617651,5.705978,4.446256,4.336283,5.719731,5.867896
"ENTREZID:100506979",5.649615,6.797013,6.483816,5.318317,5.974988,5.536053,6.098032,6.118941,7.265849,5.815063,4.446256,4.185867,5.141596,6.223036,5.510962,6.035624,7.303781,6.266787,8.053654,6.67948,8.347843,6.685099,5.491853,6.719731,6.118941,6.778734,6.834155
"ENTREZID:55363",5.336283,6.914086,6.279843,6.40429,6.147714,5.472488,6.578939,6.380245,6.161888,5.070389,5.714246,5.095924,5.757557,6.040016,5.923625,6.791814,7.16792,6.102238,8.032872,6.685099,9.939432,6.480588,6.426265,7.184875,6.135453,6.422906,6.219169
"ENTREZID:100126583 /// 28396 /// 28442 /// 28461 /// 3493 /// 3495 /// 3500 /// 3502 /// 3507",7.799605,5.575917,5.529821,5.73064,6.672425,7.214319,6.179909,5.857981,6.697663,4.705978,7.188836,6.193772,5.181898,6.195741,6.911692,7.778077,9.164153,7.250772,8.388448,5.736064,7.769507,7.954196,7.791163,6.77742,6.676662,6.785289,5.921246
"ENTREZID:3934",5.584963,8.975561,7.643856,6.255501,8.497852,5.523562,6.002252,5.9331,7.98014,6.289097,5.426265,5.209453,5.894818,6.074677,5.827819,7.301039,7.837943,7.0268,8.795715,7.465974,9.029287,7.977852,5.970394,7.661778,7.969243,6.185867,7.609548
"ENTREZID:100132733 /// 284232 /// 391267 /// 441425 /// 441430 /// 728747 /// 84210",4.523562,5.1127,5.422906,3.608809,5.181898,3.776104,4.655352,4.705978,7.214319,6.539159,6.431289,4.161888,5.193772,6.129283,6.397461,7.050937,5.361066,8.142107,5.940167,7.776762,5.221104,6.147714,7.873444,5.416164,6.599913,6.33985,4.292782
"ENTREZID:54674",6.296457,5,7.672425,4.744161,6.92837,4.683696,4.536053,5.797013,5.652486,5.419539,5.666757,7.847371,6.994353,8.740793,7.108524,8.971544,9.856114,7.206526,8.095397,8.539934,7.900263,5.655352,7.941341,8.019591,6.758889,4.70044,6
"ENTREZID:306",2.263034,8.789208,4.044394,4.270529,3.887525,2.321928,2.350497,2.292782,3.292782,2.292782,3,2.378512,2.350497,2.510962,2.292782,3.877744,4.802193,5.482203,4.357552,5.361066,5.860466,3.523562,2.232661,5.232661,4.89724,3.786596,4.776104
"ENTREZID:3703",7.430453,6.809929,6.498251,7.256445,7.212375,6.831624,6.774787,7.060696,7.042207,7.256445,6.865424,7.105385,7.290019,7.135453,7.0268,5.236493,5.149747,5.022368,4.683696,5.0917,4.69488,5.416164,5.0917,5.789208,6.244126,6.387156,6.046578
"ENTREZID:6184",9.971544,9.478972,9.622235,9.977852,9.820658,9.523562,9.598983,9.540903,9.743993,9.590026,9.527282,9.433585,9.687026,9.575539,9.690173,8.347843,8.397889,8.394034,7.839204,8.049849,8.304694,8.104861,8.398744,8.614342,9.211402,9.186114,8.802193
"ENTREZID:6773",6.093814,6.565293,5.536053,6.024586,6.006747,5.652486,5.902074,5.593951,6.230741,6.240314,5.997744,4.882643,5.847997,6.161888,5.914086,3.137504,4.566815,4.061776,4.392317,3.972693,4.217231,3.620586,4.459432,4.560715,4.672425,4.958843,4.371559
"ENTREZID:8754",4.292782,5.563768,4.385431,4.078951,5.32553,4.760221,4.683696,4.542258,5.165912,4.584963,5.061776,4.255501,4.916477,4.169925,5.270529,2.786596,2.678072,2.722466,3.754888,2.70044,2.722466,3.201634,2.786596,2.655352,3.877744,2.906891,3.608809
"ENTREZID:5272",5.244126,5.213347,4.940167,4.802193,4.857981,4.661065,5.669594,4.754888,5.205549,4.847997,5.078951,4.536053,4.57289,5.491853,5.017922,3,3,2.744161,3.944858,3.232661,2.70044,3.017922,2.70044,3.121015,4.536053,4.153805,3.643856
"ENTREZID:10189",8.714589,8.447083,8.350055,8.605109,8.589464,8.835735,8.502633,8.436295,9.369597,8.923327,8.721441,8.518456,8.350497,8.805744,8.827501,5.703211,6.678072,5.817623,6.620586,4.968091,4.678072,6.627899,6.390599,6.236493,8.005625,7.392317,7.087463
"ENTREZID:22820",6.738768,6.569856,6.707359,6.880196,6.874059,6.560715,6.84549,6.380245,6.757557,6.915282,6.446256,6.230741,6.431289,6.542258,6.640968,5.173927,5.193772,5.488644,5.247928,5.040016,4.459432,5.228819,5.108524,5.083213,6.312883,6.011227,5.9331
"ENTREZID:5586",4.817623,4.491853,4.765535,4.292782,4.510962,4.201634,5.307429,4.738768,4.817623,4.478972,4.916477,4.882643,3.498251,4.560715,4.209453,3.247928,3.292782,3.137504,3.392317,3.711495,3.350497,2.536053,3.137504,3.277985,3.485427,3.711495,3.432959
"ENTREZID:135114",5.031219,6.940167,7.075747,6.311067,6.93546,7.145677,6.980711,6.15583,6.731998,6.60585,6.715619,6.89603,5.655352,6.436295,6.744161,4.292782,3.797013,4.847997,5.462707,5.336283,4.584963,5.209453,5.104337,4.329124,4.69488,4.439623,5.078951
"ENTREZID:79228",6.412782,6.137504,6.690696,6.44791,5.981853,6.549977,6.159871,6.414474,6.004501,6.528259,6.629357,6.185867,6.745506,6.73064,6.682292,5.517276,4.83289,4.812498,5.542258,5.074677,5.596935,5.318317,5.36807,5.478972,5.847997,5.847997,5.744161
"ENTREZID:9410",7.175924,6.729281,6.97728,7.369815,7.224966,7.0268,7.004501,6.966938,7.059615,7.146696,7.227857,6.782671,7.275193,7.513333,7.179909,4.095924,4.760221,4.523562,4.329124,4.378512,4.958843,5.074677,4.523562,5.292782,6.638074,6.574404,6.311067
"ENTREZID:85406",6.785289,6.316508,5.817623,6.542258,6.32373,6.0268,6.554589,6.346957,6.392317,6.770829,6.35931,5.887525,5.997744,6.590961,6.536053,4.78136,4.78136,5.266787,4.560715,4.566815,4.161888,4.949535,4.791814,4.548437,6.118941,5.877744,5.100137
"ENTREZID:4194",6.716991,6.716991,5.925999,6.446256,6.177918,5.986411,6.263034,6.69488,5.563768,6.613237,7.084277,6.345183,5.536053,7.252665,6.93546,4.578939,3.711495,3.722466,4.044394,4.716991,5.161888,4.321928,4.911692,4.857981,5.236493,5.74685,4.716991
"ENTREZID:6294",6.329124,5.885086,5.74685,6.072535,5.956521,6.221104,6.303781,6.055282,5.947199,6.442943,5.773469,5.575917,5.716991,6.491853,6.171927,4.862947,4.862947,4.459432,4.419539,4.017922,4.307429,4.350497,4.872829,4.285402,5.995485,5.381975,4.847997
"ENTREZID:382",8.60622,8.510171,7.908092,8.886916,8.678424,8.596935,8.5519,8.385431,8.60696,8.889352,8.592831,8.190812,8.365448,8.597308,8.283551,5.914086,5.61471,5.405992,6.100137,5.392317,4.93546,5.972693,6.173927,5.409391,8.198199,7.93251,7.477354
"ENTREZID:51426",5.350497,6.857981,6.887525,5.683696,6.790511,6.849249,6.715619,7.032321,6.78398,6.416164,6.74685,7.138528,5.193772,6.467606,5.786596,3.954196,4.053111,4.560715,4.405992,4.0268,3.689299,4.716991,3.906891,5.125155,5.236493,5.321928,5.303781
"ENTREZID:56993",7.432959,7.168923,7.238405,7.569096,7.352264,7.363697,6.924813,7.098032,7.159871,7.499049,7.425426,6.829088,7.427103,7.603626,7.566054,5.05745,5,4.78136,5.149747,5.095924,5.040016,4.705978,5.303781,5.517276,6.780048,6.996615,6.753551
